45 54 162
9 s 27 s  
9 s 28 s  
9 s 29 s  
9 s 1 s  
9 s 2 s  
9 s 3 s  
9 s 5 s  
9 s 6 s  
9 s 7 s  
10 s 27 s  
10 s 28 s  
10 s 29 s  
11 s 27 s  
11 s 28 s  
11 s 29 s  
11 s 0 s  
11 s 4 s  
11 s 8 s  
12 s 30 s  
12 s 31 s  
12 s 32 s  
12 s 0 s  
12 s 4 s  
12 s 8 s  
13 s 30 s  
13 s 31 s  
13 s 32 s  
13 s 1 s  
13 s 2 s  
13 s 3 s  
13 s 5 s  
13 s 6 s  
13 s 7 s  
14 s 30 s  
14 s 31 s  
14 s 32 s  
15 s 33 s  
15 s 34 s  
15 s 35 s  
16 s 33 s  
16 s 34 s  
16 s 35 s  
16 s 0 s  
16 s 4 s  
16 s 8 s  
17 s 33 s  
17 s 34 s  
17 s 35 s  
17 s 1 s  
17 s 2 s  
17 s 3 s  
17 s 5 s  
17 s 6 s  
17 s 7 s  
18 s 36 s  
18 s 37 s  
18 s 38 s  
18 s 1 s  
18 s 2 s  
18 s 3 s  
18 s 5 s  
18 s 6 s  
18 s 7 s  
19 s 36 s  
19 s 37 s  
19 s 38 s  
20 s 36 s  
20 s 37 s  
20 s 38 s  
20 s 0 s  
20 s 4 s  
20 s 8 s  
21 s 39 s  
21 s 40 s  
21 s 41 s  
21 s 0 s  
21 s 4 s  
21 s 8 s  
22 s 39 s  
22 s 40 s  
22 s 41 s  
22 s 1 s  
22 s 2 s  
22 s 3 s  
22 s 5 s  
22 s 6 s  
22 s 7 s  
23 s 39 s  
23 s 40 s  
23 s 41 s  
24 s 42 s  
24 s 43 s  
24 s 44 s  
25 s 42 s  
25 s 43 s  
25 s 44 s  
25 s 0 s  
25 s 4 s  
25 s 8 s  
26 s 42 s  
26 s 43 s  
26 s 44 s  
26 s 1 s  
26 s 2 s  
26 s 3 s  
26 s 5 s  
26 s 6 s  
26 s 7 s  
27 s 45 h  
27 s 46 h  
27 s 47 h  
28 s 48 h  
28 s 49 h  
28 s 50 h  
29 s 51 h  
29 s 52 h  
29 s 53 h  
30 s 54 h  
30 s 55 h  
30 s 56 h  
31 s 57 h  
31 s 58 h  
31 s 59 h  
32 s 60 h  
32 s 61 h  
32 s 62 h  
33 s 63 h  
33 s 64 h  
33 s 65 h  
34 s 66 h  
34 s 67 h  
34 s 68 h  
35 s 69 h  
35 s 70 h  
35 s 71 h  
36 s 72 h  
36 s 73 h  
36 s 74 h  
37 s 75 h  
37 s 76 h  
37 s 77 h  
38 s 78 h  
38 s 79 h  
38 s 80 h  
39 s 81 h  
39 s 82 h  
39 s 83 h  
40 s 84 h  
40 s 85 h  
40 s 86 h  
41 s 87 h  
41 s 88 h  
41 s 89 h  
42 s 90 h  
42 s 91 h  
42 s 92 h  
43 s 93 h  
43 s 94 h  
43 s 95 h  
44 s 96 h  
44 s 97 h  
44 s 98 h  
0 SIMPLE_ROUTER
1 SIMPLE_ROUTER
2 SIMPLE_ROUTER
3 SIMPLE_ROUTER
4 SIMPLE_ROUTER
5 SIMPLE_ROUTER
6 SIMPLE_ROUTER
7 SIMPLE_ROUTER
8 SIMPLE_ROUTER
9 SIMPLE_ROUTER
10 SIMPLE_ROUTER
11 SIMPLE_ROUTER
12 SIMPLE_ROUTER
13 SIMPLE_ROUTER
14 SIMPLE_ROUTER
15 SIMPLE_ROUTER
16 SIMPLE_ROUTER
17 SIMPLE_ROUTER
18 SIMPLE_ROUTER
19 SIMPLE_ROUTER
20 SIMPLE_ROUTER
21 SIMPLE_ROUTER
22 SIMPLE_ROUTER
23 SIMPLE_ROUTER
24 SIMPLE_ROUTER
25 SIMPLE_ROUTER
26 SIMPLE_ROUTER
27 SIMPLE_ROUTER
28 SIMPLE_ROUTER
29 SIMPLE_ROUTER
30 SIMPLE_ROUTER
31 SIMPLE_ROUTER
32 SIMPLE_ROUTER
33 SIMPLE_ROUTER
34 SIMPLE_ROUTER
35 SIMPLE_ROUTER
36 SIMPLE_ROUTER
37 SIMPLE_ROUTER
38 SIMPLE_ROUTER
39 SIMPLE_ROUTER
40 SIMPLE_ROUTER
41 SIMPLE_ROUTER
42 SIMPLE_ROUTER
43 SIMPLE_ROUTER
44 SIMPLE_ROUTER
